Const,Created,Description,Title,Original Title,URL,Title Type,Genres,Your Rating,Date Rated,Formato
tt0480249,2016-02-21,,Soy leyenda,I Am Legend,https://www.imdb.com/title/tt0480249/,Película,"Drama, Terror, Ciencia ficción, Suspense",9,2016-02-22,br
tt0479884,2016-02-21,,Crank: Veneno en la sangre,Crank,https://www.imdb.com/title/tt0479884/,Película,"Acción, Crimen, Suspense",8,2014-11-30,br
tt0133093,2016-02-21,,Matrix,The Matrix,https://www.imdb.com/title/tt0133093/,Película,"Acción, Ciencia ficción",9,2016-02-22,br
tt0234215,2016-02-21,,Matrix Reloaded,The Matrix Reloaded,https://www.imdb.com/title/tt0234215/,Película,"Acción, Ciencia ficción",7,2016-02-22,br
tt0242653,2016-02-21,,Matrix Revolutions,The Matrix Revolutions,https://www.imdb.com/title/tt0242653/,Película,"Acción, Ciencia ficción",6,2016-02-22,br
tt0936501,2016-02-21,,Venganza,Taken,https://www.imdb.com/title/tt0936501/,Película,"Acción, Crimen, Suspense",8,2016-02-22,br
tt1397280,2016-02-21,,Venganza: Conexión Estambul,Taken 2,https://www.imdb.com/title/tt1397280/,Película,"Acción, Crimen, Suspense",6,2014-04-29,br
tt2446042,2016-02-21,,V3nganza,Taken 3,https://www.imdb.com/title/tt2446042/,Película,"Acción, Crimen, Suspense",7,2015-12-17,br
tt1320253,2016-02-21,,Los mercenarios,The Expendables,https://www.imdb.com/title/tt1320253/,Película,"Acción, Aventura, Suspense",8,2016-02-22,br
tt1764651,2016-02-21,,Los mercenarios 2,The Expendables 2,https://www.imdb.com/title/tt1764651/,Película,"Acción, Aventura, Suspense",8,2016-02-22,br
tt0110912,2016-02-21,,Pulp Fiction,Pulp Fiction,https://www.imdb.com/title/tt0110912/,Película,"Crimen, Drama",9,2013-01-09,br
tt1205489,2016-02-21,,Gran Torino,Gran Torino,https://www.imdb.com/title/tt1205489/,Película,Drama,9,2016-02-24,br
tt0373469,2016-02-21,,"Kiss Kiss, Bang Bang",Kiss Kiss Bang Bang,https://www.imdb.com/title/tt0373469/,Película,"Comedia, Crimen, Misterio, Suspense",8,2012-05-19,br
tt1032755,2016-02-21,,RocknRolla,RocknRolla,https://www.imdb.com/title/tt1032755/,Película,"Acción, Crimen, Suspense",6,2016-02-22,br
tt0112573,2016-02-21,,Braveheart,Braveheart,https://www.imdb.com/title/tt0112573/,Película,"Biografía, Drama, Bélico",7,2015-01-10,br
tt1236472,2016-02-21,,Lemmy,Lemmy,https://www.imdb.com/title/tt1236472/,Película,"Documental, Biografía, Música",8,2025-11-12,br
